               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1106,             0.10906,                   0,             0.17961,             0.41758,             0.16667,            0.040686,            0.090645,            0.057867,                   0,            0.070682,           0.0032576,           0.0032576
                   1,            0.090095,            0.069478,                   0,             0.24279,             0.53846,             0.28475,            0.070452,            0.077835,            0.051054,                   0,             0.04066,           0.0065692,           0.0065692
                   2,            0.084874,            0.061591,                   0,             0.33107,             0.40791,              0.2863,            0.086313,            0.078423,            0.042928,                   0,            0.010616,           0.0098587,           0.0098587
                   3,             0.08603,            0.059105,                   0,             0.30796,             0.63736,             0.38883,            0.093151,            0.083855,            0.045945,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.080698,            0.056798,                   0,             0.36841,             0.71792,             0.36875,             0.11257,            0.074918,            0.045422,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.073804,            0.059379,                   0,             0.26888,             0.72527,             0.27897,            0.073087,            0.076261,            0.064618,                   0,            0.009868,            0.009868,            0.009868
                   6,             0.06734,             0.05877,                   0,             0.81184,             0.78022,             0.72941,              0.2126,            0.064244,            0.053078,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.062365,            0.059945,                   0,             0.67568,             0.75824,             0.72724,             0.22542,            0.052924,            0.046213,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.058357,            0.058403,                   0,             0.70227,             0.75824,             0.72288,             0.22645,            0.056405,            0.047537,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.055541,            0.061175,                   0,             0.66935,              0.6674,              0.6604,             0.19242,            0.059951,            0.044156,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.055993,            0.058881,                   0,              0.8414,             0.87451,              0.8251,             0.26388,            0.051548,            0.043832,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.051517,            0.061706,                   0,             0.86033,             0.83516,             0.78046,             0.22814,            0.051132,            0.046346,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.052377,            0.057414,                   0,             0.72317,             0.72527,             0.69574,             0.22224,             0.05559,            0.043909,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.049246,            0.057864,                   0,             0.87985,             0.82418,             0.83697,             0.25988,            0.053123,            0.048814,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.048794,            0.058828,                   0,             0.74093,             0.72288,             0.74724,             0.23838,            0.053024,            0.047052,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.048014,            0.057765,                   0,             0.84918,             0.87912,              0.8314,             0.27113,            0.047544,            0.047138,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.048345,            0.055937,                   0,             0.89457,             0.89011,             0.86638,             0.29261,            0.046829,            0.043922,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.047249,            0.058915,                   0,             0.84771,             0.84615,             0.84929,             0.27342,            0.048212,            0.046048,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.047708,            0.055757,                   0,             0.77915,             0.79121,             0.73289,              0.2254,            0.051209,            0.046267,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.047066,             0.05449,                   0,             0.93157,             0.92308,             0.92575,             0.29864,            0.048091,            0.044512,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.047026,            0.056059,                   0,               0.696,             0.65934,             0.66954,             0.21344,            0.058649,            0.044898,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.046849,            0.055618,                   0,             0.81493,             0.79121,             0.82088,             0.28212,            0.049351,            0.044589,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.046699,            0.055731,                   0,             0.88885,             0.89011,             0.90939,             0.33183,            0.046306,            0.044645,                   0,            0.009307,            0.009307,            0.009307
                  23,             0.04625,            0.055749,                   0,             0.87719,             0.89011,             0.86033,             0.26574,            0.049832,            0.042426,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.046111,            0.056886,                   0,             0.90208,             0.91113,             0.91711,             0.36506,            0.045504,            0.044186,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.043869,            0.054631,                   0,              0.8285,             0.82418,             0.86988,             0.30384,            0.050255,            0.046233,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.044311,            0.051681,                   0,             0.89769,             0.89011,             0.93511,             0.32623,            0.046326,            0.044995,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.042006,              0.0572,                   0,             0.90899,             0.94505,             0.94683,             0.29831,            0.046928,            0.047868,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.043915,            0.055014,                   0,             0.79721,             0.78022,             0.82258,             0.24447,            0.051925,            0.045724,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.042561,            0.052842,                   0,             0.92118,             0.92308,             0.92024,             0.33214,            0.045671,            0.043872,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.044509,            0.054649,                   0,             0.83651,             0.84615,             0.81532,             0.26766,            0.049875,            0.043829,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.041938,            0.055588,                   0,             0.93437,             0.93872,             0.94961,             0.33398,            0.045805,             0.04431,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.043286,            0.055261,                   0,             0.86151,             0.85714,             0.86217,             0.31408,            0.046672,            0.043484,                   0,            0.008977,            0.008977,            0.008977
                  33,             0.04233,            0.056452,                   0,             0.93395,             0.93232,             0.94565,             0.35635,            0.044232,            0.043581,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.041352,            0.053692,                   0,             0.85698,             0.85603,             0.84611,             0.27315,            0.049993,            0.046181,                   0,            0.008911,            0.008911,            0.008911
                  35,             0.03992,            0.051759,                   0,             0.89625,             0.91209,             0.90314,             0.31528,            0.046173,            0.044542,                   0,            0.008878,            0.008878,            0.008878
